Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Сич;Ліза;Марківна;Жінка;1994-06-11;Юрист;село Деражня;шосе Нафтовиків 1-й, буд. 988, Долина , 05986;356-44-61;valerii48@example.org
Скопенко;Амалія;Леонідівна;Жінка;1954-07-25;Математик;хутір Коростень;провулок Шолохова, буд. 14, Дубровиця, 54129;076 736-15-66;khrystyna13@example.org
Редько;Розалія;Степанівна;Жінка;1979-08-05;Живописець;селище Чуднів;проспект Карпатська, буд. 36, Олександрівськ, 95844;+380 (70) 188-10-81;panas18@example.com
Засуха;Наталія;Лесівна;Жінка;1941-08-21;Швачка;селище Бунге ;провулок Траса Здоров'я, буд. 6 кв. 14, Могилів-Подільський, 02948;+380 41 318-74-29;vitaliikaras@example.net
Деряжна;Святослава;Лукʼянівна;Жінка;1974-11-17;Ґрунтознавець;село Дубляни;парк Деревообробний 5-й, буд. 5, Дубляни, 68214;+380 41 626-45-90;vasylshovkoplias@example.com
Чубай;Оксенія;Ігорівна;Жінка;1960-08-31;Агроном;хутір Тараща;узвіз Авіаторів, буд. 066, Шостка, 14987;140-03-88;hanna28@example.com
Килимник;Ліза;Венедиктівна;Жінка;1942-04-20;Письменник;місто Новомосковськ;проспект Пересипська 9-та, буд. 4, Южноукраїнськ, 05580;296 50 90;edytasirko@example.net
Єсипенко;Дарина;Леонтіївна;Жінка;1986-05-28;Кінорежисер;хутір Пирятин;вулиця Дача Ковалевського, буд. 12 кв. 815, Синельникове, 83931;+380 33 957-32-48;arsenmykhailiuk@example.com
Деревʼянко;Ярослава;Демʼянівна;Жінка;1938-08-06;Живописець;село Турка;узвіз Локомотивний 2-й, буд. 74 кв. 88, Горохів, 20444;167-91-15;vasyl32@example.org
Заїка;Володимира;Бориславівна;Жінка;1973-09-02;Конструктор;село Федорівка;набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 24, Герца, 34165;092 998 16 46;onysymzhuravel@example.org
Тичина;Світлана;Симонівна;Жінка;1966-09-11;Євнух;селище Ковель;шосе Патріотична, буд. 82, Болград, 45438;+380 23 432-30-58;verkhovynetsvladyslav@example.com
Худяк;Камілла;Валеріївна;Жінка;1963-05-15;Електромонтер;селище Деражня;парк Трамвайна, буд. 6 кв. 18, Севастополь, 92416;083 631 88 13;panasverkhovynets@example.net
Дахно;Світлана;Демидівна;Жінка;1994-07-21;Графік;хутір Золоте;вулиця Андрійця Олега, буд. 4 кв. 650, Червоноград, 62788;024 296 31 62;vgalagan@example.com
Даценко;Камілла;Георгіївна;Жінка;1987-01-25;Акушер;хутір Кремінна;узвіз Гаршина, буд. 155 кв. 4, Лубни, 59713;+380 66 224-63-04;zabaraoleh@example.com
Литвиненко;Орися;Ааронівна;Жінка;1958-04-24;Євнух;селище Голубівка;провулок Балківська, буд. 519, Дубровиця, 39951;159 36 31;solomon39@example.com
Малик;Анастасія;Пантелеймонівна;Жінка;1994-06-14;Детектив;село Хрустальний;вулиця Аеропортівський 3-й, буд. 66, Нетішин, 30531;466-88-40;hrechkonestor@example.net
Христенко;Ада;Едуардівна;Жінка;1958-08-03;Державний службовець;хутір Алмазна;провулок Супутників, буд. 20, Луганськ, 87877;408-33-92;satsiukamvrosii@example.org
Петренко;Ольга;Веніяминівна;Жінка;1979-02-19;Кіноактор;село Донецьк;набережна Метрополітенівський, буд. 3 кв. 113, Олевськ, 10765;012 205-07-34;myronchumak@example.org
Жук;Богуслава;Зорянівна;Жінка;2008-02-29;Педагог;село Гадяч;узвіз Варненська, буд. 76, Біляївка, 77958;+380 (89) 777-76-78;bvernyhora@example.net
Цимбалюк;Лариса;Соломонівна;Жінка;1976-08-10;Круп'є;селище Вишгород;площа Побратимів, буд. 23 кв. 682, Звенигородка, 09320;073 458-83-88;ilienkoborys@example.net
Дробʼязко;Ярина;Данилівна;Жінка;1988-11-24;Локсмайстер;село Чоп;проспект Сергія Ядова, буд. 62, Костянтинівка, 08255;+380 (44) 767-23-86;solomonorobets@example.com
Дурдинець;Ярослава;Демʼянівна;Жінка;1948-02-06;Юрист;село Харків;сквер Регенсбург, буд. 4, Дунаївці, 20576;+380 (62) 221-77-75;medvedenkoherman@example.com
Забара;Михайлина;Лесівна;Жінка;1940-06-20;Педагог;місто Яворів;площа Державіна, буд. 10, Семенівка, 51834;+380 86 758-67-49;leontii78@example.com
Шинкаренко;Єва;Марківна;Жінка;2006-02-24;Фотограф;хутір Конотоп;шосе Шефська, буд. 61, Одеса, 41750;+380 (30) 692-35-87;oteslia@example.net
Баклан;Ольга;Миронівна;Жінка;1950-07-15;Гицель;селище Виноградів;набережна Ремонтна, буд. 644 кв. 80, Сокаль, 99220;+380 66 918 94 59;ypavlychenko@example.com
Дейнека;Орина;Владиславівна;Жінка;1980-12-02;Реабілітолог;хутір Сміла;провулок Лазурний 2-й, буд. 604, Джанкой, 39714;+380 80 767-23-03;iarema38@example.com
Дробʼязко;Софія;Данівна;Жінка;1962-02-12;Реабілітолог;хутір Кривий Ріг;парк Агрономічний, буд. 571 кв. 54, Дрогобич, 89354;012 754-83-53;baidabohdanna@example.org
Скиба;Василина;Остапівна;Жінка;1986-09-21;Режисер;село Решетилівка;узвіз Гагарінське плато, буд. 7, Бориспіль, 21918;+380 (49) 659-30-52;babiiorest@example.com
Носенко;Орина;Максимівна;Жінка;1945-04-01;Диригент;місто Камінь-Каширський;узвіз Миколи Боровського, буд. 9, Луганськ, 16296;+380 72 317-38-32;ooliinyk@example.org
Авраменко;Михайлина;Мирославівна;Жінка;2006-08-22;Електрослюсар;селище Ладижин;вулиця Тінистий, буд. 40, Червоноград, 80340;955-38-90;ustym50@example.com
Щербань;Лілія;Бориславівна;Жінка;2004-01-29;Фольклорист;хутір Голубівка;площа Морський 2-й, буд. 757 кв. 1, Генічеськ, 60595;843-03-61;levko61@example.com
Павленко;Розалія;Спасівна;Жінка;1945-06-30;Краєзнавець;хутір Бібрка;набережна Шефська, буд. 26 кв. 76, Тальне, 96715;+380 (69) 765-26-46;zakharchenkomaksym@example.org
Гречаник;Аліна;Августинівна;Жінка;2000-07-03;Кінокритик;місто Новоград-Волинський;шосе Полтавська, буд. 784 кв. 02, Попасна, 60644;+380 92 270-00-23;priska62@example.com
Захаренко;Вікторія;Вʼячеславівна;Жінка;2001-09-26;Паралегал;хутір Почаїв;проспект Мигдальна, буд. 142 кв. 052, Носівка, 13853;+380 56 067-11-98;azarpavlyk@example.net
Чекалюк;Пріска;Яремівна;Жінка;1993-03-18;Кінорежисер;село Канів;вулиця Рибальська, буд. 736, Теребовля, 74241;+380 (11) 404-30-28;hfilipenko@example.com
Іващенко;Софія;Гордіївна;Жінка;1954-07-21;Пекар;місто Полтава;парк Зелена, буд. 016 кв. 7, Гайсин, 04047;719 18 28;nadiiaandrusenko@example.org
Козаченко;Вікторія;Бориславівна;Жінка;1967-04-07;Кінокритик;місто Чорнобиль;провулок Професора Каришковського, буд. 636 кв. 594, Тернопіль, 85135;015 004 18 22;pvakhnii@example.net
Швайка;Богуслава;Федорівна;Жінка;1951-06-20;Модель;місто Коростень;провулок Мінська, буд. 89 кв. 7, Олександрія, 48421;+380 45 924-69-15;arkadiisvystun@example.com
Охріменко;Оксенія;Аврелійовна;Жінка;1963-06-20;Гінеколог;хутір Новояворівськ;парк Лінія 35-та, буд. 6, Кременець, 51313;407 15 84;avreliimalyshko@example.com
Демʼянюк;Златослава;Назарівна;Жінка;1947-07-20;Психолог;місто Вознесенськ;парк Нахімова, буд. 3, Богодухів, 77746;616 05 37;oleksa83@example.net
Скоробогатько;Ліза;Лесівна;Жінка;1948-12-03;Водій;місто Зимогір'я;узвіз Вокзальна, буд. 800, Докучаєвськ, 77021;099 178 56 14;gbebeshko@example.org
Супруненко;Сніжана;Орхипівна;Жінка;1987-08-24;Секретар;селище Щастя ;узвіз Картамишевський, буд. 3 кв. 2, Новий Калинів, 02860;527-67-88;hryhorii17@example.org
Масоха;Надія;Альбертівна;Жінка;1955-11-01;Архітектор;хутір Виноградів;провулок Ціолковського, буд. 5 кв. 785, Ходорів, 10629;+380 68 458-27-63;opanas10@example.net
Данилюк;Камілла;Демʼянівна;Жінка;2006-01-25;Кіноактор;село Костопіль;сквер Восьмого березня 4-й, буд. 387, Бучач, 53224;114 85 82;serhii93@example.net
Байдак;Ірена;Венедиктівна;Жінка;1966-06-20;Хореограф;хутір Тульчин;узвіз Амбулаторний, буд. 3, Куп'янськ, 96366;+380 68 462-57-44;panaskolesnychenko@example.net
Гайденко;Надія;Віталіївна;Жінка;1963-08-31;Гірник;хутір Сміла;вулиця Кифоренка Бориса, буд. 17 кв. 47, Мирноград, 42209;593-96-92;wgalagan@example.org
Петренко;Камілла;Тарасівна;Жінка;1953-07-26;Єгер;село Луганськ;вулиця Юннатів 1-й, буд. 627, Ворожба, 90909;+380 55 326-65-56;xskopenko@example.net
Демʼянюк;Маруся;Ростиславівна;Жінка;1977-12-07;Піаніст;село Родинське;провулок Привокзальна, буд. 9 кв. 2, Заставна, 88077;+380 66 445 95 30;charnyshliliia@example.com
Артюх;Одарка;Устимівна;Жінка;1954-01-05;Мінералог;місто Монастирище;шосе Бугаївська, буд. 1 кв. 145, Білозерське, 97067;059 090-53-98;bohdan63@example.org
Гавришкевич;Юстина;Альбертівна;Жінка;1987-08-03;Дипломат;місто Торецьк;провулок Марата, буд. 87, Березівка, 78549;+380 (65) 520-79-49;vertyporokhmyron@example.org
Оліфіренко;Оксенія;Охрімівна;Жінка;2006-09-16;Ветеринар;селище Могилів-Подільський;парк Вишнева, буд. 3 кв. 206, Немирів, 03025;035 191-01-98;varfolomii14@example.com
Вдовенко;Роксолана;Пантелеймонівна;Жінка;2002-11-29;Доцент;місто Феодосія;узвіз Учнівська, буд. 46, Амвросіївка, 99727;+380 08 601-18-96;violettahabelko@example.net
Чміль;Ганна;Дмитріївна;Жінка;1989-01-09;Бізнесмен;село Коломия;набережна Градоначальницька, буд. 54, Коростень, 97805;070 666-31-65;babychielysaveta@example.org
Зінчук;Світлана;Богуславівна;Жінка;1958-09-19;Скульптор;місто Калуш;проспект Артилерійський 2-й, буд. 8, Богуслав, 15881;505-87-67;tsybulenkoiefrem@example.net
Дейсун;Софія;Васильівна;Жінка;1967-04-29;Мірошник;селище Ізмаїл;парк Травневий 1-й, буд. 388 кв. 230, Куп'янськ, 11252;940 76 61;gbabiak@example.com
Гук;Дарина;Леонідівна;Жінка;1997-12-07;Гицель;місто Авдіївка;шосе Листяна, буд. 62 кв. 90, Кременець, 90731;+380 (24) 336-96-04;roman78@example.org
Терещук;Володимира;Макарівна;Жінка;1944-10-08;Модельєр;село Ізмаїл;сквер Хутірська, буд. 568, Миргород, 69880;844 86 61;arsenderkach@example.org
Притула;Володимира;Теодорівна;Жінка;1997-05-10;Антрополог;хутір Ланівці;площа Михайлівська, буд. 45, Почаїв, 37436;532-29-88;khoma91@example.com
Жаліло;Еріка;Тарасівна;Жінка;1983-06-01;Кіноактор;село Тлумач;провулок Весела, буд. 927 кв. 8, Горлівка, 26165;276 38 59;zaikaanzhela@example.org
Василашко;Світлана;Богодарівна;Жінка;1949-03-24;Дипломат;село Вовчанськ;вулиця Пішонівська, буд. 25, Пологи , 03156;044 695-31-93;oksanababii@example.org
Малик;Дарина;Єфремівна;Жінка;2001-07-27;Менеджер;хутір Новоград-Волинський;вулиця Аеродромний 2-й, буд. 201 кв. 8, Кипуче, 92311;+380 (25) 025-14-12;stanislav40@example.com
Заруба;Софія;Охрімівна;Жінка;1998-04-18;Маркетолог;село Узин;сквер Академічний, буд. 412 кв. 40, Лохвиця, 48675;642 33 93;adam24@example.com
Ємець;Аніта;Феофанівна;Жінка;1939-10-06;Бібліотекар;селище Винники;провулок Квітковий, буд. 094, Гірник , 62296;028-01-16;dakhnosviatoslava@example.com
Сацюк;Лариса;Максимівна;Жінка;1948-01-28;Ветеринар;місто Ланівці;набережна Жоліо-Кюрі, буд. 372 кв. 2, Горохів, 53610;374 18 20;ievhendashenko@example.org
Вахній;Сніжана;Васильівна;Жінка;1985-11-19;Фізик;хутір Вилкове;вулиця Вознесенський, буд. 36, Виноградів, 51235;+380 50 363-22-44;stefan41@example.org
Бандурка;Ганна;Дмитріївна;Жінка;1994-10-23;Флорист;село Умань;проспект Касима Юрія, буд. 8 кв. 901, Калинівка , 29795;+380 (70) 517-08-97;woberemko@example.org
Голобородько;Володимира;Гаврилівна;Жінка;2004-02-27;Візажист;село Покровськ;провулок Сімферопольська, буд. 8 кв. 7, Шумськ, 85471;+380 29 590-54-43;hnazarenko@example.com
Рудик;Тетяна;Семенівна;Жінка;2003-08-10;Зоолог;селище Дрогобич;площа Ніжинська, буд. 7, Приморськ (Україна), 77004;+380 40 370 33 05;rubetsbohodar@example.com
Тягнибок;Людмила;Адамівна;Жінка;2003-02-24;Кінолог;місто Суми;вулиця Кифоренка Бориса, буд. 6, Зимогір'я, 15508;029-45-99;prokhir58@example.com
Конопленко;Христина;Кирилівна;Жінка;1982-09-05;Програміст;селище Знам'янка;проспект Матроська Слобідка, буд. 5 кв. 1, Миколаївка , 08188;+380 42 899 20 72;olenapavlenko@example.net
Павличенко;Ярина;Петрівна;Жінка;1950-05-28;Програміст;місто Баштанка;парк Флотський 3-й, буд. 35 кв. 6, Деражня, 33865;052 662 49 69;baleksiichuk@example.com
Височан;Любов;Демʼянівна;Жінка;1988-11-26;Історик;селище Тернопіль;узвіз Калинова, буд. 5, Долинська, 99677;+380 46 195-95-72;galaganielysaveta@example.net
Андрієнко;Данна;Демʼянівна;Жінка;1998-02-01;Кухар;хутір Новомосковськ;узвіз Весняна, буд. 854 кв. 2, Обухів, 49047;056 393 51 19;perebyinisbohuslava@example.com
Шаблій;Аліна;Лесівна;Жінка;1992-01-02;Музичний редактор;селище Ясинувата;шосе Івасюка Володимира, буд. 8 кв. 902, Шостка, 43596;+380 (22) 467-02-42;viktorierchenko@example.com
Лаба;Клавдія;Йосипівна;Жінка;1950-06-14;Слідчий;селище Вижниця;вулиця Сосюри, буд. 532 кв. 235, Суми, 30672;+380 (38) 795-61-73;taras63@example.com
Ковалюк;Ганна;Амвросійовна;Жінка;2007-08-31;Кур'єр;місто Токмак;площа Братська, буд. 3 кв. 7, Шаргород, 95271;026 655-14-35;iesypenkoserhii@example.org
Теличенко;Богданна;Едуардівна;Жінка;1977-09-14;Секретар;хутір Олевськ;набережна Чорноморського козацтва, буд. 58, Березівка, 39166;+380 68 790-23-52;ytkachenko@example.com
Терещук;Орина;Олександрівна;Жінка;1989-08-18;Фізик;село Вінниця;шосе Успенська, буд. 24, Новоселиця, 53701;071-54-84;fgoliash@example.net
Дробаха;Ірена;Прохорівна;Жінка;1945-02-02;Піаніст;хутір Новомосковськ;узвіз Гаршина, буд. 537 кв. 7, Тетіїв, 89129;008 154 49 10;varvaravlasenko@example.net
Колісниченко;Дарина;Васильівна;Жінка;2005-05-29;Доцент;село Хмільник;набережна Студентський 2-й, буд. 5 кв. 720, Корець, 20314;361 39 35;dzhusparmen@example.net
Жайворон;Ярина;Болеславівна;Жінка;1952-03-03;Сценарист;місто Інкерман;проспект Гаршина, буд. 4, Золочів, 04450;+380 21 594-48-64;halynahaidamaka@example.org
Щорс;Оксенія;Святославівна;Жінка;1942-06-13;Антрополог;хутір Гуляйполе;парк Андрійця Олега, буд. 892, Сквира, 65322;+380 83 671-93-02;iustymbaklan@example.net
Ажажа;Віра;Кирилівна;Жінка;2000-05-21;Бізнесмен;місто Ясинувата;проспект Валіховський, буд. 8 кв. 197, Славута, 90985;+380 23 495-11-78;tryhubavhustyn@example.net
Іщенко;Данна;Марківна;Жінка;1954-09-20;Ді-джей;село Дубно;сквер Прокатна, буд. 3, Дніпрорудне, 70413;+380 34 348-21-86;khrystynakybkalo@example.net
Закусило;Єлисавета;Єфремівна;Жінка;1942-08-14;Геолог;село Соледар;проспект 3-тя Суворовська, буд. 284 кв. 947, Щастя , 48632;032 928-81-33;irynaavdieienko@example.net
Таран;Василина;Кирилівна;Жінка;1966-08-28;Архітектор;місто Новгород-Сіверський;проспект 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 711, Привілля, 71280;+380 15 207-32-63;sviatoslavanehoda@example.net
Хомик;Розалія;Єлисеївна;Жінка;1957-03-17;Детектив;місто Сорокине;площа Чернігівський, буд. 99 кв. 648, Хрестівка, 18559;057 65 15;orysia51@example.org
Охримович;Єва;Михайлівна;Жінка;1963-01-23;Фрілансер;селище Ровеньки;набережна Танфільєва, буд. 534, Скадовськ, 67458;+380 37 236 67 82;tsarenkoamvrosii@example.org
Скопенко;Амалія;Леонідівна;Жінка;1983-02-04;Ветеринар;село Бережани;парк Базарна, буд. 2, Дубляни, 70894;043 923 08 43;btryhub@example.org
Ажажа;Христина;Олександрівна;Жінка;1989-01-31;Піаніст;місто Шумськ;узвіз Манежна, буд. 3 кв. 96, Ірміно, 78569;+380 (56) 056-34-77;onyshchenkopetro@example.com
Гаєвська;Вікторія;Орестівна;Жінка;2008-01-23;Акушер;селище Бобровиця;вулиця Тінистий, буд. 95 кв. 503, Славутич, 16794;+380 12 395-21-01;tesliaanton@example.org
Теличенко;Валентина;Захарівна;Жінка;1957-10-24;Шериф;селище Токмак;проспект Болгарська, буд. 144 кв. 069, Добромиль, 97642;+380 45 499 43 59;ielysavetabakumenko@example.org
Удовенко;Христина;Миронівна;Жінка;1962-03-10;Драматург;село Сватове;сквер Бітумна, буд. 1 кв. 39, Бунге , 62405;152-55-84;syrotenkovasylyna@example.com
Давиденко;Людмила;Ааронівна;Жінка;2006-02-23;Різноробочий;місто Черкаси;проспект Бугаївська, буд. 062, Молочанськ, 09840;+380 18 391-60-02;tfilipenko@example.com
Засенко;Камілла;Микитівна;Жінка;1954-09-11;Слідчий;місто Олександрівськ;площа Качалова, буд. 70, Молодогвардійськ, 96251;+380 (72) 974-52-99;amaliia53@example.net
Макаренко;Розалія;Ааронівна;Жінка;1985-12-29;Мірошник;село Краматорськ;площа Станційна 1-ша, буд. 7, Костопіль, 63592;+380 46 271 58 12;petrovernyhora@example.org
Ісаєнко;Соломія;Дмитріївна;Жінка;1967-12-10;Візажист;місто Тростянець;парк Шишкіна, буд. 45, Андрушівка, 56446;+380 27 862-07-97;iesypenkooleksandr@example.net
Баклан;Ліза;Лесівна;Жінка;1995-05-13;Програміст;селище Липовець;набережна Шефська, буд. 695, Зоринськ, 12956;042 194-91-74;zinkevychrostyslav@example.com
Даценко;Одарка;Васильівна;Жінка;1983-08-20;Музикознавець;місто Феодосія;проспект Сталепрокатна, буд. 3, Новий Буг, 72320;+380 57 656-44-90;tmamchur@example.com
Ірванець;Софія;Григоріївна;Жінка;1970-10-22;Археолог;місто Маріуполь;площа Гладкова, буд. 458 кв. 0, Долина , 21866;122-59-70;xchernenko@example.net
Єфименко;Сніжана;Зорянівна;Жінка;1952-06-22;Драматург;місто Кам'янка-Дніпровська;шосе Макарова, буд. 77, Збараж, 25238;055 463 73 77;leonid76@example.com
Тесля;Марта;Орестівна;Жінка;1940-11-07;Випробувач;хутір Турка;вулиця Станційна 1-ша, буд. 77 кв. 4, Джанкой, 44585;935 01 97;aaronviter@example.net
Верховинець;Розалія;Францівна;Жінка;2005-10-30;Педагог;село Снятин;парк Василя Кандинського 2-й, буд. 30, Монастириська, 55029;+380 72 264-90-95;martyn35@example.org
Єрченко;Ольга;Данівна;Жінка;1942-08-12;Агроном;хутір Радомишль;набережна Неплія, буд. 562 кв. 841, Жмеринка, 67351;+380 02 633 21 92;vanchenkoklavdiia@example.com
Микитюк;Василина;Семенівна;Жінка;1963-08-03;Гицель;селище Бобринець;узвіз Михайлівська, буд. 16 кв. 69, Сновськ, 62302;018 372-54-51;ieremenkoievhen@example.org
Архимович;Віолетта;Стефанівна;Жінка;1998-01-02;Електрик;селище Українськ;вулиця Верстатобудівна, буд. 35 кв. 106, Енергодар, 79363;+380 (76) 857-14-75;ada91@example.org
Мазур;Камілла;Ярославівна;Жінка;1968-05-25;Антрополог;селище Славута;набережна Ювілейний 1-й, буд. 84, Новояворівськ, 04774;085 131 90 73;jdemydenko@example.com
Товстуха;Михайлина;Юхимівна;Жінка;1960-05-06;Патологоанатом;село Апостолове;площа Центральний аеропорт, буд. 42, Боярка, 77438;052 672-41-07;leopoldgerega@example.org
Гайдамака;Ліза;Гаврилівна;Жінка;1947-10-03;Стиліст;село Севастополь;набережна Кладовищний, буд. 5 кв. 4, Калинівка , 29101;050 818 46 16;eivashchenko@example.net
Михайличенко;Ада;Олегівна;Жінка;1961-02-23;Піаніст;селище Корсунь-Шевченківський;набережна Лінія 53-тя, буд. 4 кв. 30, Переяслав, 86375;+380 51 323-00-74;prokhirpavlyk@example.net
Абраменко;Аніта;Августинівна;Жінка;1965-01-12;Шериф;селище Долина ;вулиця Тетяни Тесс, буд. 050 кв. 33, Соледар, 53677;+380 69 691-18-32;ielyseiromanenko@example.org
Павличенко;Еріка;Єлисеївна;Жінка;1970-05-25;Піаніст;місто Бобровиця;узвіз Бузкова, буд. 14 кв. 6, Нетішин, 65234;032-65-99;zynoviinehoda@example.com
Тягнибок;Амалія;Захарівна;Жінка;2006-02-23;Кінокритик;хутір Кипуче;провулок Тарутинська, буд. 2 кв. 8, Перевальськ, 83314;+380 30 507 17 86;marynaazhazha@example.org
Шевченко;Тетяна;Григоріївна;Жінка;1960-07-26;Публіцист;місто Камінь-Каширський;сквер Сливова, буд. 55, Берестечко, 62891;+380 52 061-19-27;vasylechkoiaroslav@example.net
Вахній;Галина;Тимофіївна;Жінка;1962-10-10;Ріелтор;хутір Чортків;сквер Володі Дубініна, буд. 8 кв. 226, Косів, 08866;+380 76 033-16-53;liudmylakomar@example.com
Тягнибок;Лілія;Богуславівна;Жінка;1997-01-30;Астроном;село Іловайськ;набережна Кладовищенська, буд. 325 кв. 649, Подільськ, 75110;+380 (27) 649-17-44;iustymaleksiuk@example.com
Вишивана;Оксенія;Дмитріївна;Жінка;1985-12-13;Ботанік;хутір Переяслав;провулок 7-ма Суворовська, буд. 221, Алчевськ, 40643;+380 (50) 594-66-83;moberemko@example.org
Дурдинець;Ліза;Валентинівна;Жінка;1989-06-27;Прокурор;хутір Ямпіль;парк Кострова, буд. 651 кв. 444, Мирноград, 70013;+380 35 176-71-70;klavdiiazabashta@example.org
Юрчук;Ярослава;Веніяминівна;Жінка;1995-02-03;Фермер;селище Решетилівка;шосе Чапаєва 2-й, буд. 3 кв. 6, Камінь-Каширський, 60047;556-31-92;babychaaron@example.net
Бабійчук;Анастасія;Макарівна;Жінка;1958-06-14;Геофізик;селище Біляївка;узвіз Аграрна, буд. 512, Чорнобиль, 25309;082 926 48 67;wshablii@example.org
Ісаєнко;Емілія;Йосипівна;Жінка;1952-11-25;Слідчий;село Світловодськ;площа Академіка Сахарова, буд. 21, Андрушівка, 22405;025 897-96-80;svystunavrelii@example.org
Адамчук;Ірена;Демидівна;Жінка;2007-11-30;Фрілансер;село Сулимівка (Слов'янськ);набережна Мазепи Івана, буд. 494, Тлумач, 12003;+380 (57) 098-81-76;baturynetsiukhym@example.org
Вдовенко;Ярина;Тимофіївна;Жінка;1946-06-02;Візажист;село Золочів;вулиця 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 9, Гірське, 15805;534-65-87;sofiiatalan@example.com
Артюх;Анжела;Аркадіївна;Жінка;1978-07-31;Мовознавець;селище Рудки;набережна Наявний 2-й, буд. 3, Сокиряни, 61656;084 697-68-21;mykolai80@example.com
Пелех;Оксенія;Болеславівна;Жінка;1966-09-07;Диригент;село Жашків;шосе Кришталева, буд. 8, Курахове, 43125;031 763 19 13;shtepaeduard@example.org
Зінкевич;Світлана;Панасівна;Жінка;1983-07-18;Нотаріус;село Герца;сквер Сєченова, буд. 7 кв. 21, Глобине, 51640;+380 15 205-30-86;mnestaiko@example.net
Комар;Сніжана;Віталіївна;Жінка;1955-06-06;Флорист;місто Первомайськ;шосе Глазунова 2-й, буд. 7, Скадовськ, 40330;+380 (88) 315-46-48;spas11@example.org
Аверченко;Сніжана;Ааронівна;Жінка;1985-09-23;Кушнір;селище Очаків;провулок Нова, буд. 30, Скалат, 59785;723 34 08;hoholanton@example.com
Сомко;Галина;Едуардівна;Жінка;1959-06-14;Мірошник;хутір Новогродівка;шосе Усатівська, буд. 907 кв. 95, Бобринець, 70659;005 399 60 04;qdanyliuk@example.net
Приймак;Богданна;Алевтинівна;Жінка;1956-01-10;Менеджер;хутір Малин;провулок Віри Інбер, буд. 7, Харків, 17492;547-49-18;isaievychsolomiia@example.org
Тригуб;Варвара;Тимофіївна;Жінка;1990-07-28;Драматург;село Іловайськ;вулиця Академіка Вільямса, буд. 0 кв. 2, Львів, 48200;+380 87 405-03-98;hanna92@example.com
Пустовіт;Ірена;Максимівна;Жінка;1949-11-02;Астрофізик;місто Ірпінь;набережна Хаджибейський 2-й, буд. 6, Олешки, 47102;+380 07 482 21 82;eivashchenko@example.org
Батіг;Богуслава;Федорівна;Жінка;1968-11-29;Фрілансер;село Зимогір'я;площа Поїзна, буд. 22, П'ятихатки, 67195;083 825-53-85;mykytaandriishyn@example.org
Тягнибок;Роксолана;Кирилівна;Жінка;1958-07-10;Фармацевт;село Тернівка ;вулиця Педагогічна, буд. 657 кв. 12, Чугуїв, 47941;079 541-37-13;ielysavetashutko@example.net
Єрьоменко;Амалія;Геннадіївна;Жінка;1952-01-10;Сценарист;місто Радехів;вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 40 кв. 81, Свалява, 26743;037 989 44 83;holoborodkomarko@example.org
Шиян;Сніжана;Ярославівна;Жінка;1967-11-20;Будник;селище Міусинськ;сквер Кленова, буд. 111, Яготин, 57486;+380 69 411-85-35;baranandrii@example.com
Ткаченко;Едита;Алевтинівна;Жінка;1989-07-20;Науковець;місто Барвінкове;проспект Кустанайська, буд. 909 кв. 978, Алмазна, 77478;018 402 87 48;babiichukanita@example.com
Ткаченко;Віра;Володимирівна;Жінка;1950-12-24;Журналіст;місто Гірник ;проспект Венгера, буд. 899 кв. 3, Новомиргород, 66312;+380 33 283-64-45;pshvachko@example.com
Бабич;Анастасія;Ігорівна;Жінка;1984-09-11;Підприємець;селище Славута;шосе Костанді 3-й, буд. 832, Верхівцеве, 57186;550-45-23;hanna69@example.net
Атаманчук;Маруся;Лукʼянівна;Жінка;1943-02-18;Програміст;село Корець;провулок Молодіжна, буд. 00 кв. 670, Остер , 39970;+380 32 032-04-31;agerega@example.com
Литвин;Одарка;Альбертівна;Жінка;1967-03-10;Менеджер;хутір Полтава;провулок Бригадна, буд. 5 кв. 10, Перемишляни, 11772;891 42 27;umanetsiosyp@example.net
Гайдай;Людмила;Дмитріївна;Жінка;1988-05-27;Фотограф;село Перевальськ;площа Семінарська, буд. 21 кв. 251, Путивль, 27294;381 91 39;taras99@example.org
Симоненко;Аніта;Назарівна;Жінка;1968-03-09;Громадський діяч;місто Сколе;узвіз Марсельська, буд. 6, Ходорів, 67386;+380 29 528 28 45;oleksandrhutsuliak@example.com
Цимбал;Пріска;Іванівна;Жінка;1955-06-12;Продюсер;селище Ржищів;сквер Штильова, буд. 083 кв. 23, Дунаївці, 05770;057-61-77;ihnatishchenko@example.com
Шморгун;Ірина;Алевтинівна;Жінка;1971-03-24;Археолог;село Оріхів;вулиця Листяна, буд. 67 кв. 9, Новоазовськ, 96605;047 730 16 76;solomiiadutka@example.com
Чуйко;Роксолана;Азарівна;Жінка;1962-01-05;Провізор;хутір Іршава;сквер Виноградний, буд. 003, Перевальськ, 62718;+380 (18) 110-20-34;spaslytvyn@example.org
